time,des_joint2_to_joint1,des_joint3_to_joint2,des_joint4_to_joint3,des_joint5_to_joint4,des_joint6_to_joint5,des_joint6output_to_joint6,act_joint2_to_joint1,act_joint3_to_joint2,act_joint4_to_joint3,act_joint5_to_joint4,act_joint6_to_joint5,act_joint6output_to_joint6
0.000000,0.500000,0.986603,-0.713397,0.700000,-0.386603,-0.086603,0.500000,0.900000,-0.800000,0.700000,-0.300000,0.000000
0.050000,0.507846,0.990259,-0.717587,0.692154,-0.390259,-0.082413,0.500000,0.900000,-0.800000,0.700000,-0.300000,0.000000
0.100000,0.515643,0.993358,-0.722285,0.684357,-0.393358,-0.077715,0.500000,0.900000,-0.800000,0.700000,-0.300000,0.000000
0.150000,0.523345,0.995882,-0.727463,0.676655,-0.395882,-0.072537,0.502063,0.935958,-0.765637,0.697937,-0.336426,-0.034363
0.200000,0.530902,0.997815,-0.733087,0.669098,-0.397815,-0.066913,0.506481,0.959010,-0.747195,0.693519,-0.359286,-0.052805
0.250000,0.538268,0.999144,-0.739124,0.661732,-0.399144,-0.060876,0.512246,0.973735,-0.738348,0.687754,-0.373898,-0.061652
0.300000,0.545399,0.999863,-0.745536,0.654601,-0.399863,-0.054464,0.518900,0.983447,-0.735358,0.681100,-0.383542,-0.064642
0.350000,0.552250,0.999966,-0.752284,0.647750,-0.399966,-0.047716,0.525658,0.989597,-0.736004,0.674342,-0.389654,-0.063996
0.400000,0.558779,0.999452,-0.759326,0.641221,-0.399452,-0.040674,0.532696,0.993696,-0.738967,0.667304,-0.393729,-0.061033
0.450000,0.564945,0.998325,-0.766619,0.635055,-0.398325,-0.033381,0.539687,0.996248,-0.743419,0.660313,-0.396268,-0.056581
0.500000,0.570711,0.996593,-0.774118,0.629289,-0.396593,-0.025882,0.546548,0.997636,-0.748901,0.653452,-0.397647,-0.051099
0.550000,0.576041,0.994264,-0.781776,0.623959,-0.394264,-0.018224,0.553337,0.998082,-0.755248,0.646663,-0.398089,-0.044752
0.600000,0.580902,0.991355,-0.789547,0.619098,-0.391355,-0.010453,0.559479,0.997737,-0.761738,0.640521,-0.397741,-0.038262
0.650000,0.585264,0.987882,-0.797382,0.614736,-0.387882,-0.002618,0.565472,0.996660,-0.768810,0.634528,-0.396662,-0.031190
0.700000,0.589101,0.983867,-0.805234,0.610899,-0.383867,0.005234,0.571068,0.994920,-0.776147,0.628932,-0.394921,-0.023853
0.750000,0.592388,0.979335,-0.813053,0.607612,-0.379335,0.013053,0.576242,0.992547,-0.783694,0.623758,-0.392548,-0.016306
0.800000,0.595106,0.974314,-0.820791,0.604894,-0.374314,0.020791,0.580945,0.989581,-0.791364,0.619055,-0.389581,-0.008636
0.850000,0.597237,0.968835,-0.828402,0.602763,-0.368835,0.028402,0.585220,0.985980,-0.799240,0.614780,-0.385980,-0.000760
0.900000,0.598769,0.962932,-0.835837,0.601231,-0.362932,0.035837,0.588879,0.981918,-0.806960,0.611121,-0.381919,0.006960
